feature,score
num_permissions,-0.12359205950656522
issue_net_count,-0.10953038405345453
num_services,-0.09218867744473919
apk_file_size,-0.09195937679515735
num_assets,-0.08928890968085519
apk_arsc_size,-0.06670925267511495
num_activities,-0.06621235211193258
pr_avg_reviews,-0.06611345362821003
num_content_providers,-0.06464490535294529
total_components,-0.0635091643372844
