feature,score
num_assets,-0.1474722964507957
apk_file_size,-0.13505248849596302
num_permissions,-0.1198413225448968
num_content_providers,-0.09667660043456808
apk_arsc_size,-0.07979026169913837
num_activities,-0.07894500408547442
total_components,-0.07572766974015069
sentence_count,-0.07556238939087039
num_services,-0.07266151864573572
body_line_count,-0.07256897613657061
